X Y
2.243291183158495627e-01 4.147127664569673078e-01
4.791632916446210144e-01 8.159146189323842613e-01
8.757652224117246087e-01 7.921208777600937667e-01
4.437393722763883774e-01 7.746645904202758004e-01
2.211089897180396058e-02 1.082639233508793097e-01
1.287735218260156467e-01 8.978437502691410943e-01
9.969146179996781765e-01 8.970715254836270081e-01
1.492239571342602877e-01 7.331029863398567104e-01
6.885717677449533225e-01 5.150784447402879662e-01
9.421898897332692258e-03 7.122518631665614164e-01
2.258921217980974783e-01 3.966510478645436377e-01
1.611473274886463525e-01 6.097070990728660211e-01
5.004343179763489635e-01 3.010662603730577258e-01
9.647783811489685224e-02 2.054967560767773094e-01
4.312360802502361867e-01 9.044907058297504410e-01
9.900204091865058009e-01 2.687147627997410471e-02
4.828468887829235889e-01 8.575485318162608950e-01
8.523461399739671318e-01 3.863188406419245657e-01
2.268908059124246090e-01 7.758219018606554718e-01
9.045438919487868157e-01 7.011945674418009755e-01
2.763133618891835397e-01 8.371563050297643471e-01
6.854310380239340139e-01 2.136002144399188341e-01
3.476498677286687933e-01 3.939466623418140800e-01
4.348742169936035129e-01 7.506501983871175510e-01
3.513782732401573572e-01 1.951696946260322862e-01
2.825591773512345917e-01 2.992743882963122548e-01
5.549031137978230888e-01 4.809210983721262656e-01
1.348131060238867418e-01 8.116182725733428471e-01
5.078045666815663717e-01 8.296401133141591000e-01
4.086332649662739458e-01 8.237954861233088844e-01
3.483722378669129593e-01 9.720426818872777153e-01
1.443933451444817662e-01 3.590854700785731657e-01
3.298466130294693821e-01 6.714300439002713894e-01
9.911290516952719898e-01 2.785073019694980223e-01
3.812057283561853804e-02 1.322968698619527705e-01
8.526668141000587342e-01 6.997567273156587442e-01
2.479081791122891287e-01 8.047629360152021016e-01
4.069452868551622915e-01 9.717537577150723305e-01
7.817530684438183108e-01 5.380866739420944178e-01
7.840505854010736408e-01 9.666082273734022401e-02
2.395657915448420328e-01 2.167532829089764412e-01
5.366847831191545737e-02 6.605807604199067651e-01
3.345496151746011337e-01 3.470860213534624483e-01
9.614577835633872915e-01 9.956180212054853707e-01
7.278073796618561575e-01 2.420673934329317101e-01
2.178319278657111502e-01 7.075271830069151946e-01
3.331117450412067749e-01 6.923743158436683753e-01
7.216575395977924412e-01 6.039997349241255087e-01
2.431381940166074118e-01 7.419725933436766008e-01
1.939863863280835155e-01 3.722945119957474791e-01
3.611963015799284360e-01 3.131810016796676699e-02
7.608710674066391233e-01 3.940981441435706945e-01
4.631276254400246151e-01 3.079299218762261425e-01
9.599577055108550194e-01 5.550262735628875843e-01
8.558891413066568310e-01 9.339231596263317670e-01
7.081095722148633698e-01 6.339477681854185365e-01
5.406025273231256367e-01 6.810671377223053158e-01
8.256521441476635248e-01 6.466812274621192014e-01
3.205483224748367777e-01 3.999325533357720452e-01
1.161327084254047959e-01 7.802624102197789346e-01
5.139995817645911513e-01 2.782784597656320358e-01
5.429580674575128496e-01 1.250405326067420830e-01
1.985932322948069650e-02 4.269988359258228838e-01
4.418236061576353846e-01 8.680909610979847812e-02
8.178403803117616500e-01 5.071324427478827168e-01
5.532309249114208960e-01 7.814842294047935622e-01
1.048553889810157624e-01 2.352196403822248705e-02
1.930653808286181272e-01 5.044802418029211699e-01
7.394452730904829130e-01 5.192001389166878145e-01
5.223371562191019279e-01 2.172970541523656651e-01
8.037670441025005497e-01 3.983520101905512201e-01
7.629720125661667574e-01 4.025395687848981607e-01
1.245069100537676832e-02 9.097268230552005841e-01
4.648589318555438332e-01 5.137453067169767129e-01
3.879361781234781370e-01 2.123511196667593470e-01
2.619315443870148252e-01 5.659219535559617542e-01
5.352685129466723257e-01 9.888938719717121906e-01
4.452003867726862518e-01 4.051922759560822040e-02
2.239889555982436109e-01 7.005727766203810880e-01
4.760064198278235459e-02 1.745120287733691322e-01
7.763058294153906136e-01 8.942225442015729886e-01
2.701046373679382162e-01 1.384214366445748468e-01
3.002533389309671730e-01 2.553995001612417992e-01
1.921553327009060119e-01 5.122770861382595076e-01
4.866007990471088451e-02 7.017066630803968641e-01
5.865844161539363055e-01 1.272578069760061936e-01
5.799860078506599015e-01 1.246296826866314378e-01
2.636361976288325026e-01 3.682740000770134969e-01
3.877376801096220627e-01 8.396626010661134565e-02
8.430774489174061026e-01 3.212641314822197725e-01
6.737369230103757989e-01 5.823346928056819527e-01
8.194436635087833931e-01 1.241477942500105458e-01
2.156007361587997107e-02 3.828164590878448958e-01
8.261095020680810919e-01 4.649716132794278201e-01
8.188755844710519094e-01 1.828605896779622597e-01
9.114967668827544944e-01 4.936794418872914036e-01
4.228192043456873161e-01 9.008914478988205854e-01
8.795741436787951617e-02 6.723971591610089504e-02
4.827168811065893905e-01 5.475603673102986679e-01
3.207908991416539290e-01 6.405130445018683005e-01
8.740008185295581322e-01 2.587354815259301777e-02
2.973410049822943213e-01 9.985523365007418217e-01
6.195845289620141028e-01 3.582827042514276084e-01
4.069118305735182073e-01 9.052213369671066046e-01
8.356773415167454422e-01 9.956369752285293417e-01
2.586540435775658286e-01 5.917950663129440958e-01
5.433053342925779905e-01 6.421945684900427498e-01
5.576954470630128835e-01 9.884585089765725030e-01
1.691779710470454612e-01 1.384033521837010339e-01
7.067813298222219709e-01 9.981344767793153272e-01
4.201852371359958704e-01 4.767783362445638939e-01
8.829832092343613548e-01 1.792177211832088890e-01
1.794424864737794723e-01 3.758244175766950468e-01
9.836996307955052643e-01 3.799346221446858740e-01
2.523180863667598972e-01 8.742491781934208506e-01
5.871942063680112289e-01 5.642150115666716426e-01
3.376916878449152115e-01 2.884778017049201004e-01
7.042714874684761206e-01 8.321182912114510888e-02
6.333660936333110891e-01 2.980573476194300353e-01
4.431638791681670186e-01 6.380284239345148656e-01
3.049800311577463008e-01 3.093024960889755315e-01
4.683728754186428089e-01 4.148055367252132530e-01
9.400869301521169730e-01 1.562831347110166247e-01
3.795064273214144857e-01 7.022204938231946247e-02
3.232347910165028759e-01 3.255071328456859980e-02
5.074024031129675816e-02 2.687350701835855560e-01
7.002748140366212848e-01 3.245197623100393169e-01
7.952127214663506916e-01 8.744802912092510816e-01
4.637135000597318868e-01 1.645920764458989050e-01
5.415689466341316871e-01 6.162948692689123042e-01
4.949262344160340055e-01 4.882536175595492134e-01
6.044259821878498196e-01 3.825544895384679345e-01
4.533255644301601439e-01 6.536395103004543072e-01
2.125926383462974911e-01 1.063669827115022448e-01
6.110273647151737153e-01 3.396617475335150793e-03
8.547658905795295636e-01 6.972091153076678260e-01
5.089111442579291600e-01 6.990364554758140558e-01
9.292180202433003577e-01 8.355900946212262426e-01
3.541078289087545850e-01 5.798749577891445517e-01
4.716417779326588233e-01 4.275428833047942856e-01
6.348170560180586008e-01 6.601040589395412717e-02
2.125864391892483551e-01 7.080519913697388423e-01
5.698294327135067228e-02 9.260573296539074128e-01
9.004471201705582795e-01 7.898325574244553504e-01
1.822542407748274362e-01 9.481489711901802675e-02
3.137027574153009590e-01 2.781967840108234835e-02
3.804310849077969792e-01 4.294767898741305157e-01
7.950472234127465843e-01 4.749937611828041195e-01
2.378228726367921375e-01 6.933103775694603454e-01
4.103080048993817952e-01 9.946029003785737954e-01
6.966114627326962516e-01 1.837684569039211846e-01
9.999026822068094456e-01 9.280170932259910188e-01
7.622846818903381561e-01 7.707912844591960910e-01
3.142641957861475044e-01 5.160767127693470790e-01
9.618143454773706580e-01 3.442103045386925020e-01
8.737397677678256924e-01 2.333147715577621462e-02
5.415308260178919308e-02 5.160155524653606829e-01
5.109095677025601301e-01 9.085656374718997785e-02
9.372173777151776575e-01 6.870694037491144046e-01
6.629922197293193209e-01 6.861180470115141317e-01
9.630852482618504906e-01 7.632900208209431048e-01
1.673320500316540782e-01 8.618972794595364251e-01
9.210633394065567137e-01 8.842204456864580786e-01
3.176949994717419568e-01 2.531973918225194353e-01
