X Y
7.722286289509964208e-01 7.686527291676847895e-03
4.487112038955908266e-01 1.589203278867759028e-01
2.516731380181832511e-01 6.561967119187891440e-01
6.036297846928012634e-01 2.363503511664897250e-01
3.229604289381782234e-01 3.771442700940027537e-01
2.990064233357718759e-01 5.221788732951272438e-01
1.512070172875470409e-01 1.284194915193800357e-01
5.086393686680579229e-02 9.103080658633871947e-01
3.753229184773796412e-01 9.277958530780705537e-02
5.276531543355067466e-02 8.619113042435591066e-01
